index,ADHD,PTSD,anxiety,autism,depression,non-diagnosed,schizophrenia,Macro_Average
TPR,0.98,0.9454545454545454,0.9215686274509803,0.9787234042553191,0.9772727272727273,0.9620253164556962,0.9807692307692307,0.9636876930940713
PPV,0.9245283018867925,1.0,0.9591836734693877,1.0,0.9555555555555556,0.95,0.9807692307692307,0.9671481088115667
ACC,0.9881516587677726,0.9928909952606635,0.985781990521327,0.9976303317535545,0.985781990521327,0.9834123222748815,0.995260663507109,0.9898442789438049
F1,0.9514563106796117,0.9719626168224299,0.94,0.989247311827957,0.9662921348314607,0.9559748427672956,0.9807692307692307,0.9651003496711408
MCC,0.945235359490281,0.968394907973342,0.9321790691936999,0.9879880649471654,0.9573816190489424,0.9457847595642812,0.978066528066528,0.9592900440406058
AUC,0.9846236559139785,0.9727272727272727,0.9580888959357328,0.9893617021276595,0.9826483396842678,0.9751817544377607,0.989033264033264,0.9788092692657051
GM,0.9846127998311813,0.9723448696087954,0.9573926062515592,0.9893045053244826,0.982633635835579,0.9750930018864524,0.9889987376728563,0.9786257366301295
