index,ADHD,PTSD,anxiety,autism,depression,non-diagnosed,schizophrenia,Macro_Average
TPR,1.0,0.9818181818181818,0.9607843137254902,1.0,0.9772727272727273,1.0,1.0,0.9885536032594856
PPV,0.9259259259259259,1.0,1.0,1.0,0.9885057471264368,1.0,1.0,0.9877759532931947
ACC,0.990521327014218,0.9976303317535545,0.995260663507109,1.0,0.9928909952606635,1.0,1.0,0.996614759647935
F1,0.9615384615384616,0.9908256880733946,0.98,1.0,0.9828571428571429,1.0,1.0,0.9878887560669999
MCC,0.9570630769045654,0.9895201855588691,0.9775646552565486,1.0,0.9783984464565928,1.0,1.0,0.9860780520252251
AUC,0.9946236559139785,0.990909090909091,0.9803921568627452,1.0,0.9871393576483397,1.0,1.0,0.9932948944763078
GM,0.9946091251481444,0.9908673886137246,0.9801960588196069,1.0,0.9870900470693683,1.0,1.0,0.9932518028072634
