index,ADHD,PTSD,anxiety,autism,depression,non-diagnosed,schizophrenia,Macro_Average
TPR,0.92,0.9636363636363636,1.0,1.0,0.9886363636363636,1.0,0.9230769230769231,0.9707642357642358
PPV,0.9787234042553191,0.9814814814814815,0.9444444444444444,0.9791666666666666,0.9886363636363636,0.9634146341463414,0.9795918367346939,0.9736369759093302
ACC,0.9881516587677726,0.9928909952606635,0.9928909952606635,0.9976303317535545,0.995260663507109,0.9928909952606635,0.9881516587677726,0.9925524712254569
F1,0.9484536082474226,0.9724770642201835,0.9714285714285714,0.9894736842105263,0.9886363636363636,0.9813664596273292,0.9504950495049505,0.9717615429821925
MCC,0.9423427696563105,0.9684495670148261,0.9678881275093031,0.9882082551545275,0.9856423516603158,0.9772350111840227,0.944309858145034,0.9677251343320484
AUC,0.9586559139784947,0.9804557839980184,0.9959568733153639,0.9986666666666666,0.9928211758301579,0.9956268221574345,0.9601871101871102,0.983195763733321
GM,0.9578762350744642,0.9803115073658305,0.995948666664466,0.9986657765906136,0.9928123561497811,0.9956172177673852,0.959469708006522,0.982957352517009
