index,DIAGNOSED,non-diagnosed,Macro_Average
TPR,0.8440366972477065,0.978494623655914,0.9112656604518102
PPV,0.9928057553956835,0.6408450704225352,0.8168254129091094
ACC,0.8738095238095238,0.8738095238095238,0.8738095238095238
F1,0.912396694214876,0.774468085106383,0.8434323896606295
MCC,0.7219401988751765,0.7219401988751765,0.7219401988751765
AUC,0.9112656604518102,0.9112656604518102,0.9112656604518102
GM,0.9087823559165171,0.9087823559165171,0.9087823559165171
