index,DIAGNOSED,non-diagnosed,Macro_Average
TPR,0.9938837920489296,0.9354838709677419,0.9646838315083357
PPV,0.9818731117824774,0.9775280898876404,0.9797006008350588
ACC,0.9809523809523809,0.9809523809523809,0.9809523809523809
F1,0.9878419452887538,0.9560439560439561,0.9719429506663549
MCC,0.9442650330768072,0.9442650330768072,0.9442650330768072
AUC,0.9646838315083357,0.9646838315083357,0.9646838315083357
GM,0.9642418042576409,0.9642418042576409,0.9642418042576409
