index,DIAGNOSED,non-diagnosed,Macro_Average
TPR,0.981651376146789,0.8387096774193549,0.9101805267830719
PPV,0.9553571428571429,0.9285714285714286,0.9419642857142858
ACC,0.95,0.95,0.95
F1,0.9683257918552036,0.8813559322033898,0.9248408620292967
MCC,0.8515518622693273,0.8515518622693273,0.8515518622693273
AUC,0.9101805267830719,0.9101805267830719,0.9101805267830719
GM,0.9073701058698921,0.9073701058698921,0.9073701058698921
