index,DIAGNOSED,non-diagnosed,Macro_Average
TPR,0.9938837920489296,0.9247311827956989,0.9593074874223142
PPV,0.9789156626506024,0.9772727272727273,0.9780941949616648
ACC,0.9785714285714285,0.9785714285714285,0.9785714285714285
F1,0.9863429438543247,0.9502762430939227,0.9683095934741237
MCC,0.9372134088648888,0.9372134088648888,0.9372134088648888
AUC,0.9593074874223142,0.9593074874223142,0.9593074874223142
GM,0.9586841683176379,0.9586841683176379,0.9586841683176379
